"Source","Estudiante","Tarea","Tipología textual","Tema","Edad","Sexo","País","L1","Estudios","Edad de inicio en el estudio del español","Número de meses estudiando español","Contactos personales en países de habla española","Contexto a la izquierda","Elemento gramatical 1","Etiqueta 1","Lema 1","Palabra ortográfica 1","Información adicional 1","Contexto a la derecha"
"A1IR.xlsx","2042","5752","Nota/aviso","Nota llegar tarde",71,"Hombre","Francia","Francés","Otros",13,10,"No","Debo","ir","VINP","ir",NA,NA,"a buscar otras en la casa de mi hijo ."
"A1IR.xlsx","480","1333","Correo electrónico","Cambio trabajo",43,"Mujer","Bélgica","Francés","Universidad",1,3,"No","No me gusta ni","ir","VMNP","ir",NA,NA,"de compras ni ir a la playa porque no me gusta tomar el sol ."
"A1IR.xlsx","838","2338","Correo electrónico","Familia",60,"Mujer","Francia","Francés","Universidad",60,0,"No","Tengo que","ir","VMNP","ir",NA,NA,"a el banco ."
"A1IR.xlsx","1239","3494","Nota/aviso","Nota llegar tarde",58,"Hombre","Francia","Francés","Universidad",58,3,"No","tengo que","ir","VMNP","ir",NA,NA,"trabajar con Javier , porque hace problemas con su ordenador y no sabemos cuantos oras esto nos tomar ."
"A1IR.xlsx","1972","5556","Correo electrónico","Cambio trabajo",63,"Hombre","Francia","Francés","Primaria",63,4,"No","También me gusta","ir","VMNP","ir",NA,NA,"a el ciné , a el teatro , y a conciertos de musica clasica ."
"A1IR.xlsx","390","1083","Correo electrónico","Familia",42,"Mujer","Francia","Francés","Secundaria",1,0,"No","Le gusta","ir","VMNP","ir",NA,NA,"a el concierto de musica rock o clasica ."
"A1IR.xlsx","781","2177","Correo electrónico","Familia",36,"Mujer","Francia","Francés","Otros",14,36,"No","En fin de semana , nos gusta","ir","VMNP","ir",NA,NA,"a el campo en Baujolais o ir a la montaña circa de Lyon ."
"A1IR.xlsx","777","2163","Correo electrónico","Cambio trabajo",36,"Hombre","Francia","Francés","Universidad",35,12,"Amigos","Me gusta mucho leer , hacer deporte ,","ir","VMNP","ir",NA,NA,"a el cine ."
"A1IR.xlsx","232","641","Nota/aviso","Nota llegar tarde",16,"Hombre","Mónaco","Francés","Secundaria",3,36,"No","llegarà tarde este noche y no me essperen porque con aymane","ir","VMNP","ir",NA,NA,"a el cine para ver la pelicula de "" DESTINATION_FINAL_5 "" y la pelicula se acaba a las 11_de_la_tarde y"
"A1IR.xlsx","480","1334","Nota/aviso","Nota llegar tarde",43,"Mujer","Bélgica","Francés","Universidad",1,3,"No","Te escribo este sms para informar te que voy a","ir","VMNP","ir",NA,NA,"a el cinema con mis amigas ."
"A1IR.xlsx","2042","5753","Correo electrónico","Familia",71,"Hombre","Francia","Francés","Otros",13,10,"No","Quieren tambien ir de compras con amigos ,","ir","VMNP","ir",NA,NA,"a el cine y comer o cenar ."
"A1IR.xlsx","1075","3022","Nota/aviso","Nota llegar tarde",15,"Hombre","Francia","Francés","Universidad",1,2,"No","Hoy llego tarde , porque tengo que","ir","VMNP","ir",NA,NA,"a farmacia y doctor ."
"A1IR.xlsx","480","1333","Correo electrónico","Cambio trabajo",43,"Mujer","Bélgica","Francés","Universidad",1,3,"No","No me gusta ni ir de compras ni","ir","VMNP","ir",NA,NA,"a la playa porque no me gusta tomar el sol ."
